Id,Title,Abstract,Prerequisites,Level,Year,PresentationUrl,CodeUrl,StartTime,Track_Id,Track_Id1,Speaker_Id,Category,Audience,SurveyUrl,SpeakerDeckUrl,SpeakerRateUrl,Timestamp,Room
2574,Introduction to iOS for .NET Developers,"This session is designed for the .NET developer that is interested in developing for iOS, but doesn't know where to start. I will explain iOS development by comparing Visual Studio to XCode and Objective-C to C#. By the end of this session, you will be equipped with the proper tools and resources to build your first iOS app.",General .NET,100,2013,,,2:40pm,,1665,3146,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131614,,,1/1/1900 0:00,
2575,Graph Databases From a Developer's Perspective,"Falling into the category of NOSQL, graph databases can provide greatly improved query performance for the right kinds of data. Designing, implementing and maintaining the database is much simpler, as well.<br/>Microsoft Research has developed the Trinity database project(Graph database) for use by Bing for the integration of information from your social graph into search results. This speaks to the volume of data that graph databases can handle as well as the performance they can deliver.<br/>In this talk, I'll explain what graph databases are, how they work at a high level, what problems they are meant to solve and compare them to relational stores. I'll also present a project built against the Neo4j graph database. While looking at this project, I'll show Neo4j's rest interface, its proprietary Cypher query language and how to use the Neo4jClient library to access the database from .Net code.",.Net,100,2013,,,3:50pm,,1655,3148,General Discussion,,https://www.surveymonkey.com/s/ATLCC20131335,,,1/1/1900 0:00,
2576,Building Connected Cross-platform mobile apps with Xamarin,"In this talk we'll look at how to build cross-platform mobile apps that access data from the web using Xamarin tools and Web Services. We will examine the libraries, techniques, and lessons learned from building the Nerd Dinner Mobile app.",,200,2013,,https://github.com/pmourfield/AtlCodeCamp,1:30pm,,1660,3150,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131103,,http://speakerrate.com/talks/25661-building-connected-cross-platform-mobile-apps-with-xamarin,1/1/1900 0:00,
2577,Asynchronicity,"You may have heard a great deal about the async and await keywords. You may have used them for some web service calls or some light background work. Maybe you are just wondering what makes them so great, maybe you really love them. There is a whole framework behind those two words, with a lot more power to make asynchronous coding easier and smarter.<br/>This session provides that ability to make your applications faster and more responsive without sacrificing much of the clarity and maintainability of single-threaded code.<br/>It will also address error handling and task cancellation issues that can often be skipped in the simple demos, but are required for real application development. Also covered will be some patterns for development that will help prevent the spaghetti async code of .net 3.5 and earlier. <br/>We will cover Async and Await, Tasks, Continuations, Cancellations, Progress Reporting, Concurrency Safe Collections, and Error Handling with the Task Parallel Library.","C#
",200,2013,https://speakerdeck.com/dedac/asynchronicity,http://goforth.codeplex.com,11:20am,,1655,3151,Web Development,,https://www.surveymonkey.com/s/ATLCC20131332,,,1/1/1900 0:00,
2578,Applied Responsive Design,"I will give a discussion of the viewport tag' and how it relates to media queries and different devices. Then I can show how to use media queries within css to create a flexible layouts, along with the display property.",Basic html and css.,300,2013,,,2:40pm,,1664,3152,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131524,,,1/1/1900 0:00,
2579,What's New in PowerShell v3,"There's a lot of excitement in the PowerShell community over the much anticipated release of PowerShell v3. With literally thousands of new cmdlets and a new ISE, where do you start? In this session we'll begin with an overview of the featuresets included with v3, plus the new ISE. Then we'll look at some of the new language features, such as the simplified Where-Object, append capabilities for Export-CSV, dynamically updatable help, default parameters, and more. Then we'll take a deeper look at the feature everyone is drooling over, Workflows. You'll see how to implement a workflow and how to use it to run tasks in parallel. By the time you finish this session you'll be well on your way to tackling the newest version of PowerShell.",Assumes you are familiar with PowerShell 2.,200,2013,,,3:50pm,,1661,3153,IT Topics,,https://www.surveymonkey.com/s/ATLCC20131515,,,1/1/1900 0:00,
2580,Monetizing Mobile Games,"The mobile gaming industry is already a 10 billion dollar a year industry. Come learn how independent game creators are generating their revenue, and learn how you can do the same thing. In this session you will learn all about mobile game monetization strategies including advertising options, in app purchases, and large scale user acquisition. Making money in today's mobile marketplace is a reality for those that put in the effort to create great mobile games. Come and learn how to step up your game and get a piece of the mobile game pie.",Familiarity with mobile gaming.,300,2013,,,3:50pm,,1665,3155,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131615,https://speakerdeck.com/smartyp/monetizing-mobile-games,,1/1/1900 0:00,
2581,Best Practices for WordPress Theme Development,"If you're preparing to release a WordPress theme, working on a client project or just building your own WordPress site this talk will get you up to speed on the tools and techniques used to develop top quality themes. Learn about the template hierarchy, how child themes work, the right way to incorporate css and javascript. We'll also cover creating custom menus, widget areas and using the built in customizer to make your theme flexible for the user.",,100,2013,,http://q21.co/wptbp,11:20am,,1662,3156,Web Development,,https://www.surveymonkey.com/s/ATLCC20131582,,,1/1/1900 0:00,
2582,RussCam ? It?s All About the Tools TV Show,"Be part of the of the live TV Show audience recording for ""RussCam - It?s All About The Tools!"". Join Russ Fustino, Head of Developer Evangelism at ComponentOne & Windows 8 Key Influencer, as he resurrects his MSDN Channel 9 TV show hit series from his Microsoft days. Russ will host the show with guests Microsoft Regional Director, John Papa and Microsoft Technical Evangelist, Tara Walker. John will do a deep dive into Angular JS and Tara will discuss the latest on Windows 8 and Cross-Platform App and Game development. It?s the latest and hottest technology that you won?t want to miss. Be there or be talked about! We will be making history in this slot of the day, so join in on the fun!",General Web Development knowledge.,100,2013,,,1:30pm,,1665,3157,Web Development,,https://www.surveymonkey.com/s/ATLCC20131613,,,1/1/1900 0:00,
2583,Entity Framework Code First End to End,"This session will cover the use Entity Framework in .NET based applications. Discussion will include model creation and organization as well as schema evolution via migrations. The role of data annotations in Entity Framework model creation and validation will be highlighted. Key issues in achieving performance will be part of the talk, including ability to embed stored procedures when necessary. Creation of a maintainable data access layer via use of repositories will be illustrated. An ASP.NET MVC application will be built throughout the talk to illustrate the concepts.",Some familiarity with EF is helpful.,100,2013,,http://dotnetspeak.com/Downloads/EFEndToEnd.zip,2:40pm,,1663,3158,General Discussion,,https://www.surveymonkey.com/s/ATLCC20132644,https://speakerdeck.com/sergeybarskiy/entity-framework-code-first-end-to-end,http://speakerrate.com/talks/25331-entity-framework-code-first-end-to-end,1/1/1900 0:00,
